slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
bottom_06,스키니진,bottom,메가,마이크로,쇠퇴/잔존,0.0739,-0.7777,0.1081,0.0976,-0.0856,0.0418,0.4008,0.5574,2.0,0.0421,100.0,32.0,262,52,1
bottom_07,조거팬츠,bottom,메가,마이크로,쇠퇴/잔존,2.6245,-0.6393,0.9054,0.7339,-0.3055,0.0156,0.2901,0.164,3.2258,0.0,100.0,14.0,262,52,1
bottom_08,트레이닝팬츠,bottom,마이크로,마이크로,도입,-1.2228,0.2677,0.0,0.0,0.2858,0.1657,0.2176,1.6403,1.6949,1.0,100.0,36.0,262,52,0
bottom_09,치노팬츠,bottom,스테디,마이크로,도입,1.2284,-0.6975,0.7243,0.6679,0.2929,0.1689,0.145,0.2672,2.8571,1.0,100.0,36.0,262,52,2
bottom_11,버뮤다팬츠,bottom,스테디,스테디,성장,0.3524,0.0904,0.5165,0.7171,0.4423,0.2209,0.1298,0.7841,3.3333,1.0,100.0,44.0,262,52,2
bottom_12,레깅스,bottom,메가,마이크로,쇠퇴/잔존,-0.0106,0.4642,0.5647,0.0,-0.2308,-0.0793,0.0153,0.307,5.2632,0.0,100.0,11.0,262,52,1
bottom_16,코듀로이팬츠,bottom,스테디,스테디,도입,-0.7809,-0.3345,0.247,0.7597,0.2513,0.1371,0.1107,0.8461,2.2727,1.0,100.0,3.0,262,52,2
bottom_19,밴딩팬츠,bottom,마이크로,마이크로,성장,-1.0548,0.1975,0.0483,0.0923,0.3451,0.2022,0.2137,1.5511,1.7544,1.0,100.0,56.0,262,52,0
bottom_23,점프수트,bottom,메가,마이크로,쇠퇴/잔존,0.4971,-0.8243,0.3077,0.5469,-0.1265,0.0653,0.3282,0.4207,2.2222,0.1916,100.0,26.0,262,52,1
bottom_24,멜빵바지,bottom,메가,마이크로,쇠퇴/잔존,-0.5067,-0.4858,0.1,0.2458,-0.1711,0.0351,0.2863,0.8563,1.9231,0.0,100.0,28.0,262,52,1
bottom_25,핫팬츠,bottom,메가,마이크로,쇠퇴/잔존,-0.3669,2.3396,0.4868,0.2211,-0.2132,-0.008,0.0038,0.3951,9.0909,0.0,100.0,8.0,262,52,1
bottom_26,린넨팬츠,bottom,마이크로,마이크로,쇠퇴/잔존,-2.2438,4.0212,0.0012,0.0,0.0738,-0.0709,0.0038,3.6631,5.0,0.8391,100.0,15.0,262,52,0
bottom_30,트랙팬츠,bottom,마이크로,마이크로,쇠퇴/잔존,-1.7031,3.8037,0.1411,0.1261,0.2964,0.0884,0.0038,1.3452,10.0,1.0,100.0,9.0,262,52,0
bottom_a04,로우라이즈,bottom,마이크로,마이크로,도입,-1.5874,0.9834,0.1426,0.0976,0.066,0.2629,0.0267,0.6566,5.5556,1.0,100.0,18.0,262,52,0
bottom_a05,하이웨이스트,bottom,마이크로,마이크로,도입,-2.0047,2.5608,0.0062,0.0,0.0754,0.1994,0.0496,3.6935,1.7857,1.0,100.0,29.0,262,52,0
bottom_a06,랩스커트,bottom,마이크로,마이크로,도입,-1.955,2.5315,0.0048,0.0148,0.0245,0.2906,0.0611,3.653,1.8182,1.0,100.0,26.0,262,52,0
dress_01,미니스커트,bottom,메가,메가,쇠퇴/잔존,2.6531,-1.184,0.657,0.2836,-0.1459,-0.0214,0.4962,0.1695,2.0408,0.0,100.0,42.0,262,52,1
dress_02,롱스커트,bottom,스테디,마이크로,성장,-0.3651,-0.7677,0.1319,0.3251,0.1298,0.2212,0.2901,0.4509,2.2727,1.0,100.0,54.0,262,52,2
dress_03,플리츠스커트,bottom,마이크로,마이크로,성장,-0.5677,-0.0799,0.2216,0.1966,0.398,0.6299,0.1756,1.1939,2.0,1.0,100.0,42.0,262,52,0
dress_05,테니스스커트,bottom,마이크로,마이크로,쇠퇴/잔존,-1.9189,2.1701,0.0,0.0,0.0,0.0,0.0725,3.2547,1.9802,1.0,100.0,20.0,262,52,0
